
2024/12/02 (17:34:21) | ===> btop++ v.1.4.0
2024/12/02 (17:34:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (20:06:38) | ===> btop++ v.1.4.0
2024/12/02 (20:06:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (20:14:03) | ===> btop++ v.1.4.0
2024/12/02 (20:14:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (19:05:44) | ===> btop++ v.1.4.0
2024/12/03 (19:05:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (22:41:38) | ===> btop++ v.1.4.0
2024/12/05 (22:41:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (18:36:34) | ===> btop++ v.1.4.0
2024/12/09 (18:36:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (21:45:56) | ===> btop++ v.1.4.0
2024/12/11 (21:45:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (19:45:45) | ===> btop++ v.1.4.0
2024/12/13 (19:45:45) | WARNING: Intel GPU: Failed to initialize PMU
